OrderDetailID,OrderID,ProductID,Quantity,Price,UnitPrice,CustomerID,OrderDate,OrderYear,OrderMonth,OrderQuarter,ProductName,Category,PriceSegment,CustomerName
54,1344,58,15,12716580.0,847772.0,103,2024-05-01,2024,5,2,Benchmark Seamless Bandwidth,Books,Premium,
55,678,249,12,37469904.0,3122492.0,23,2023-01-12,2023,1,1,Syndicate E-Business Systems,Clothing,Luxury,Bác Thành Dương
56,1809,115,1,3147817.0,3147817.0,51,2024-04-14,2024,4,2,Embrace Strategic Users,Food,Luxury,Hải Hải Phạm
57,1664,105,4,8924168.0,2231042.0,119,2023-03-17,2023,3,1,Streamline E-Business Convergence,Furniture,Luxury,Thành Bảo Trần
58,1587,91,5,21188820.0,4237764.0,470,2024-01-28,2024,1,1,Innovate Global Bandwidth,Sports,Luxury,
59,23,237,20,23602340.0,1180117.0,321,2024-08-25,2024,8,3,Engineer E-Business Technologies,Sports,Premium,
60,1014,292,8,21780224.0,2722528.0,117,2023-02-17,2023,2,1,Disintermediate Strategic E-Markets,Clothing,Luxury,Bác Phúc Mai
61,661,269,2,7627264.0,3813632.0,107,2023-02-27,2023,2,1,Unleash Plug-And-Play Markets,Clothing,Luxury,
62,1061,291,10,2278150.0,227815.0,309,2024-10-28,2024,10,4,Extend Value-Added Info-Mediaries,Food,Mid,Cô Hạnh Nguyễn
63,566,50,7,17922618.0,2560374.0,462,2024-09-25,2024,9,3,Visualize One-To-One E-Business,Books,Luxury,
64,426,4,12,39041184.0,3253432.0,400,2023-08-11,2023,8,3,Exploit 24/365 Models,Books,Luxury,Bác Trung Bùi
65,1615,41,19,89692578.0,4720662.0,106,2023-10-10,2023,10,4,Harness Compelling Partnerships,Books,Luxury,Nhật Nguyễn
66,1439,219,19,9235330.0,486070.0,402,2024-06-18,2024,6,2,Matrix Vertical Systems,Books,Mid,
67,976,237,3,3540351.0,1180117.0,66,2024-11-16,2024,11,4,Engineer E-Business Technologies,Sports,Premium,
68,993,83,2,2487812.0,1243906.0,208,2023-08-18,2023,8,3,Unleash Viral Paradigms,Clothing,Premium,Ngọc Bùi
69,1622,232,10,22720240.0,2272024.0,197,2023-11-20,2023,11,4,Brand Viral Roi,Clothing,Luxury,
70,1824,212,7,18507104.0,2643872.0,415,2023-05-21,2023,5,2,Reinvent Distributed E-Commerce,Books,Luxury,
71,414,5,16,31544800.0,1971550.0,467,2024-04-28,2024,4,2,Redefine 24/365 Architectures,Books,Premium,Quang Dương
72,876,9,17,43653450.0,2567850.0,109,2023-01-29,2023,1,1,Whiteboard Virtual Channels,Furniture,Luxury,An Hữu Đặng
73,1710,175,4,4274216.0,1068554.0,307,2024-10-26,2024,10,4,Engage Robust Initiatives,Electronics,Premium,Chi Đặng
74,280,16,7,8141084.0,1163012.0,28,2023-10-17,2023,10,4,Streamline Killer Relationships,Sports,Premium,
75,1443,201,11,1378179.0,125289.0,37,2024-05-12,2024,5,2,Architect Viral Metrics,Furniture,Mid,
76,751,77,15,59211720.0,3947448.0,169,2024-07-05,2024,7,3,Brand Innovative Portals,Furniture,Luxury,Cô An Vũ
77,1961,272,4,15927360.0,3981840.0,121,2023-11-07,2023,11,4,Embrace 24/7 Architectures,Food,Luxury,
78,1858,222,18,65203308.0,3622406.0,431,2024-12-31,2024,12,4,Enable Customized Architectures,Furniture,Luxury,Nam Thế Lê
79,47,296,4,4762388.0,1190597.0,79,2023-12-07,2023,12,4,Target Proactive Relationships,Clothing,Premium,
80,377,228,9,23652045.0,2628005.0,423,2024-06-09,2024,6,2,Envisioneer Collaborative Applications,Food,Luxury,Chị Nhật Trần
81,1165,133,8,19675144.0,2459393.0,488,2024-10-20,2024,10,4,E-Enable Sticky Relationships,Furniture,Luxury,Thành Mai
82,1700,181,9,39487347.0,4387483.0,431,2024-02-03,2024,2,1,Orchestrate End-To-End Markets,Electronics,Luxury,Nam Thế Lê
83,1163,238,11,4262390.0,387490.0,474,2023-04-29,2023,4,2,Enhance E-Business Architectures,Clothing,Mid,Quang Đức Đặng
84,869,91,20,84755280.0,4237764.0,117,2023-04-01,2023,4,2,Innovate Global Bandwidth,Sports,Luxury,Bác Phúc Mai
85,1732,67,14,66618314.0,4758451.0,118,2024-08-16,2024,8,3,Disintermediate Cutting-Edge Roi,Furniture,Luxury,Tùng Mai Mai
86,391,258,2,260632.0,130316.0,101,2024-06-09,2024,6,2,Deliver Killer Info-Mediaries,Food,Mid,
87,612,264,16,50067504.0,3129219.0,195,2023-02-11,2023,2,1,Scale 24/365 Users,Clothing,Luxury,
88,523,118,20,13427540.0,671377.0,251,2024-04-14,2024,4,2,Incentivize Seamless Technologies,Electronics,Premium,Bà An Phạm
89,767,280,7,6349686.0,907098.0,273,2024-09-21,2024,9,3,Mesh Leading-Edge E-Commerce,Furniture,Premium,
90,733,173,10,18991420.0,1899142.0,230,2023-06-08,2023,6,2,Utilize User-Centric E-Markets,Furniture,Premium,Cô Hà Đặng
91,1548,82,20,96672740.0,4833637.0,488,2023-07-31,2023,7,3,Extend 24/365 Web Services,Electronics,Luxury,Thành Mai
92,1824,94,20,6471360.0,323568.0,415,2023-05-21,2023,5,2,Morph Web-Enabled Convergence,Electronics,Mid,
93,280,222,6,21734436.0,3622406.0,28,2023-10-17,2023,10,4,Enable Customized Architectures,Furniture,Luxury,
94,1848,120,6,1480506.0,246751.0,464,2023-01-31,2023,1,1,Generate Collaborative Action-Items,Furniture,Mid,Hạnh Phạm
95,235,54,20,39527980.0,1976399.0,137,2023-02-26,2023,2,1,Benchmark Killer Paradigms,Clothing,Premium,Quý cô Linh Lê
96,1745,187,17,60675176.0,3569128.0,477,2023-07-11,2023,7,3,Maximize Bleeding-Edge Bandwidth,Furniture,Luxury,
97,979,74,20,34942860.0,1747143.0,405,2024-03-04,2024,3,1,Unleash Global Initiatives,Furniture,Premium,
98,301,182,18,15856722.0,880929.0,500,2024-08-29,2024,8,3,Brand Rich Action-Items,Books,Premium,Phương Dương
99,1570,79,9,27861219.0,3095691.0,363,2024-09-09,2024,9,3,Syndicate Rich Initiatives,Clothing,Luxury,Bác Trung Hoàng
100,823,111,20,14293800.0,714690.0,89,2023-11-04,2023,11,4,Optimize Dynamic Web Services,Books,Premium,Nhật Hải Trần
101,730,126,20,62268400.0,3113420.0,331,2023-04-28,2023,4,2,Enable Impactful Communities,Electronics,Luxury,
102,1242,137,10,13771930.0,1377193.0,460,2024-02-06,2024,2,1,Enable Web-Enabled E-Markets,Books,Premium,
103,1486,73,19,83894424.0,4415496.0,469,2023-07-11,2023,7,3,Utilize Scalable Synergies,Furniture,Luxury,Bác Thành Vũ
104,1158,121,9,25395903.0,2821767.0,154,2023-07-13,2023,7,3,Evolve Efficient Metrics,Electronics,Luxury,
105,1324,278,19,88115787.0,4637673.0,387,2024-11-09,2024,11,4,Productize Dot-Com Deliverables,Furniture,Luxury,Anh Mai
106,1285,134,16,59089408.0,3693088.0,4,2024-06-26,2024,6,2,Matrix Revolutionary Applications,Electronics,Luxury,Khoa Lê
107,795,206,15,68792850.0,4586190.0,236,2023-11-09,2023,11,4,Expedite Viral E-Services,Sports,Luxury,
108,1691,66,19,58059440.0,3055760.0,91,2024-07-12,2024,7,3,Leverage Revolutionary Technologies,Sports,Luxury,
109,816,250,7,6285384.0,897912.0,83,2023-04-02,2023,4,2,Productize Magnetic Functionalities,Furniture,Premium,Châu Mai Dương
110,1180,197,16,62408496.0,3900531.0,220,2023-09-28,2023,9,3,Scale Plug-And-Play E-Services,Electronics,Luxury,Cô Khoa Nguyễn
111,972,240,12,51451116.0,4287593.0,18,2023-03-23,2023,3,1,Streamline Extensible E-Commerce,Electronics,Luxury,
112,868,255,11,26141973.0,2376543.0,175,2024-05-08,2024,5,2,Brand Distributed Models,Books,Luxury,Anh Phúc Lê
113,358,49,8,3080448.0,385056.0,117,2024-07-29,2024,7,3,Transition Impactful Info-Mediaries,Food,Mid,Bác Phúc Mai
114,202,91,4,16951056.0,4237764.0,389,2024-07-02,2024,7,3,Innovate Global Bandwidth,Sports,Luxury,Ông Dũng Trần
115,1237,52,9,15678990.0,1742110.0,142,2024-05-27,2024,5,2,Re-Contextualize Dynamic Experiences,Clothing,Premium,Chị Khoa Nguyễn
116,1937,224,9,24667092.0,2740788.0,292,2024-08-29,2024,8,3,E-Enable Robust Communities,Books,Luxury,
117,1080,300,18,56578968.0,3143276.0,184,2023-03-30,2023,3,1,E-Enable B2B Initiatives,Electronics,Luxury,Linh Vũ
118,807,284,15,36620235.0,2441349.0,82,2024-11-27,2024,11,4,Re-Intermediate Mission-Critical E-Markets,Sports,Luxury,Bác Quang Đặng
119,127,279,18,1621062.0,90059.0,294,2024-04-20,2024,4,2,Generate B2C Web-Readiness,Food,Budget,Thành Thị Bùi
120,914,94,9,2912112.0,323568.0,423,2024-10-29,2024,10,4,Morph Web-Enabled Convergence,Electronics,Mid,Chị Nhật Trần
121,1057,113,20,51440380.0,2572019.0,247,2024-10-20,2024,10,4,Brand Mission-Critical Niches,Books,Luxury,Nhật Phạm
122,1048,109,4,5966048.0,1491512.0,490,2024-02-10,2024,2,1,Incubate World-Class Systems,Food,Premium,Chị An Phạm
123,717,174,6,14535540.0,2422590.0,351,2023-05-20,2023,5,2,Expedite Sticky Users,Food,Luxury,
124,218,297,16,37528576.0,2345536.0,404,2023-09-27,2023,9,3,Incentivize Leading-Edge Bandwidth,Electronics,Luxury,Ngọc Mai
125,1375,254,5,23834540.0,4766908.0,324,2023-04-12,2023,4,2,Syndicate Distributed E-Business,Sports,Luxury,Khoa Nguyễn
126,1504,99,19,49845056.0,2623424.0,262,2023-05-08,2023,5,2,Synthesize Enterprise Synergies,Clothing,Luxury,
127,75,165,17,13256702.0,779806.0,134,2024-02-07,2024,2,1,Disintermediate Innovative Experiences,Sports,Premium,
128,1174,197,10,39005310.0,3900531.0,2,2024-07-05,2024,7,3,Scale Plug-And-Play E-Services,Electronics,Luxury,Quý cô Kim Phạm
129,1247,299,14,22957578.0,1639827.0,143,2024-09-03,2024,9,3,Streamline Rich Communities,Clothing,Premium,
130,1293,188,4,10289888.0,2572472.0,118,2023-09-05,2023,9,3,Embrace Rich Experiences,Electronics,Luxury,Tùng Mai Mai
131,1511,131,10,13421070.0,1342107.0,498,2024-08-27,2024,8,3,Harness B2B Portals,Clothing,Premium,
132,757,232,9,20448216.0,2272024.0,312,2024-04-17,2024,4,2,Brand Viral Roi,Clothing,Luxury,
133,1152,227,4,10357324.0,2589331.0,122,2024-06-30,2024,6,2,Monetize Strategic E-Business,Food,Luxury,
134,976,111,2,1429380.0,714690.0,66,2024-11-16,2024,11,4,Optimize Dynamic Web Services,Books,Premium,
135,16,247,9,39572154.0,4396906.0,244,2023-07-07,2023,7,3,Synthesize Scalable Methodologies,Books,Luxury,Hương Bùi
136,1982,101,20,72155880.0,3607794.0,118,2023-07-19,2023,7,3,Extend Customized E-Tailers,Books,Luxury,Tùng Mai Mai
137,1502,115,4,12591268.0,3147817.0,130,2023-10-29,2023,10,4,Embrace Strategic Users,Food,Luxury,Anh Tấn Bùi
138,875,299,3,4919481.0,1639827.0,41,2024-03-16,2024,3,1,Streamline Rich Communities,Clothing,Premium,Phương Đức Mai
139,1613,199,10,38795460.0,3879546.0,498,2023-01-22,2023,1,1,Utilize Impactful Deliverables,Clothing,Luxury,
140,1327,253,16,63050560.0,3940660.0,178,2023-12-24,2023,12,4,Incentivize Sticky Niches,Furniture,Luxury,
141,236,295,14,29559530.0,2111395.0,253,2023-04-12,2023,4,2,Evolve Value-Added Users,Electronics,Luxury,Bác Hưng Hoàng
142,1655,155,15,20994600.0,1399640.0,200,2023-08-29,2023,8,3,Benchmark Virtual Users,Clothing,Premium,Vi Hoàng
143,1934,61,1,4169218.0,4169218.0,340,2023-06-13,2023,6,2,Synthesize Seamless Paradigms,Books,Luxury,
144,457,210,14,8079022.0,577073.0,231,2024-11-14,2024,11,4,Maximize Robust Convergence,Electronics,Premium,Hạnh Phạm
145,1066,243,11,19975285.0,1815935.0,294,2023-06-10,2023,6,2,Streamline Turn-Key Supply-Chains,Electronics,Premium,Thành Thị Bùi
146,217,275,7,21889567.0,3127081.0,343,2024-08-06,2024,8,3,Deliver Frictionless Niches,Electronics,Luxury,
147,934,113,14,36008266.0,2572019.0,38,2024-03-04,2024,3,1,Brand Mission-Critical Niches,Books,Luxury,Lan Vũ
148,1888,109,3,4474536.0,1491512.0,419,2024-08-02,2024,8,3,Incubate World-Class Systems,Food,Premium,
149,1583,166,14,39066930.0,2790495.0,477,2023-06-08,2023,6,2,Seize Virtual Vortals,Food,Luxury,
150,1153,82,14,67670918.0,4833637.0,239,2024-03-29,2024,3,1,Extend 24/365 Web Services,Electronics,Luxury,Quý ông Quang Lê
151,395,297,4,9382144.0,2345536.0,52,2023-01-14,2023,1,1,Incentivize Leading-Edge Bandwidth,Electronics,Luxury,Kim Quang Phạm
152,1098,186,12,47995644.0,3999637.0,293,2023-09-21,2023,9,3,Visualize Revolutionary Partnerships,Sports,Luxury,Lâm Nguyễn
153,195,278,8,37101384.0,4637673.0,480,2024-10-07,2024,10,4,Productize Dot-Com Deliverables,Furniture,Luxury,Châu Tấn Mai
154,1204,95,13,44862649.0,3450973.0,23,2023-09-03,2023,9,3,Optimize Customized E-Commerce,Clothing,Luxury,Bác Thành Dương
155,241,23,4,4848004.0,1212001.0,40,2024-03-08,2024,3,1,Morph World-Class E-Markets,Furniture,Premium,
156,391,140,4,14340068.0,3585017.0,101,2024-06-09,2024,6,2,Generate 24/365 Eyeballs,Food,Luxury,
157,896,284,1,2441349.0,2441349.0,425,2023-06-17,2023,6,2,Re-Intermediate Mission-Critical E-Markets,Sports,Luxury,Linh Bùi
158,1841,150,5,21948045.0,4389609.0,279,2023-10-30,2023,10,4,Drive Collaborative Communities,Electronics,Luxury,Kim Phú Bùi
159,538,36,5,2166580.0,433316.0,304,2024-04-01,2024,4,2,Extend Magnetic Supply-Chains,Food,Mid,
160,1710,19,8,9569832.0,1196229.0,307,2024-10-26,2024,10,4,Strategize B2B Partnerships,Clothing,Premium,Chi Đặng
161,728,177,4,1837888.0,459472.0,318,2024-09-29,2024,9,3,Strategize Back-End Synergies,Sports,Mid,Lâm Mai Bảo Đặng
162,1847,254,3,14300724.0,4766908.0,34,2023-08-11,2023,8,3,Syndicate Distributed E-Business,Sports,Luxury,Phúc Hoàng
163,339,203,1,894324.0,894324.0,126,2024-03-17,2024,3,1,Benchmark Proactive Systems,Furniture,Premium,Quý cô Khoa Vũ
164,841,186,19,75993103.0,3999637.0,122,2024-10-23,2024,10,4,Visualize Revolutionary Partnerships,Sports,Luxury,
165,482,148,5,7397075.0,1479415.0,376,2024-12-16,2024,12,4,Unleash Distributed Web-Readiness,Electronics,Premium,Xuân Phạm
166,1498,17,16,56282816.0,3517676.0,109,2023-08-17,2023,8,3,Exploit Holistic Info-Mediaries,Electronics,Luxury,An Hữu Đặng
167,680,21,4,8560844.0,2140211.0,229,2024-03-04,2024,3,1,Mesh User-Centric Functionalities,Food,Luxury,
168,318,98,12,10387320.0,865610.0,250,2023-01-07,2023,1,1,Envisioneer Bleeding-Edge Deliverables,Clothing,Premium,Quý ông Nam Nguyễn
169,243,136,7,15002596.0,2143228.0,410,2023-09-14,2023,9,3,Expedite Mission-Critical Web-Readiness,Electronics,Luxury,Quý cô Thành Bùi
170,1089,62,16,15854496.0,990906.0,34,2023-11-05,2023,11,4,Expedite Seamless Roi,Furniture,Premium,Phúc Hoàng
171,1603,225,15,7708080.0,513872.0,447,2024-11-04,2024,11,4,Transform Proactive Markets,Electronics,Premium,Chị Linh Hoàng
172,734,65,20,61877640.0,3093882.0,304,2024-11-30,2024,11,4,Integrate Proactive Interfaces,Clothing,Luxury,
173,734,70,16,39275664.0,2454729.0,304,2024-11-30,2024,11,4,Utilize Next-Generation Schemas,Food,Luxury,
174,1061,222,5,18112030.0,3622406.0,309,2024-10-28,2024,10,4,Enable Customized Architectures,Furniture,Luxury,Cô Hạnh Nguyễn
175,1718,264,18,56325942.0,3129219.0,471,2024-03-01,2024,3,1,Scale 24/365 Users,Clothing,Luxury,
176,1579,297,12,28146432.0,2345536.0,207,2024-11-12,2024,11,4,Incentivize Leading-Edge Bandwidth,Electronics,Luxury,
177,387,194,9,14287842.0,1587538.0,212,2024-11-11,2024,11,4,Implement Collaborative Action-Items,Books,Premium,An Hải Mai
178,909,288,15,31423185.0,2094879.0,419,2024-05-12,2024,5,2,Cultivate 24/365 E-Services,Sports,Luxury,
179,1701,203,2,1788648.0,894324.0,469,2023-10-11,2023,10,4,Benchmark Proactive Systems,Furniture,Premium,Bác Thành Vũ
180,1404,12,15,26425140.0,1761676.0,194,2023-08-26,2023,8,3,Synthesize Cross-Platform Applications,Sports,Premium,An Văn Hoàng
181,476,114,9,5713623.0,634847.0,74,2023-08-16,2023,8,3,Whiteboard Enterprise Channels,Food,Premium,
182,742,46,9,43566102.0,4840678.0,230,2023-08-17,2023,8,3,Syndicate Dynamic E-Commerce,Electronics,Luxury,Cô Hà Đặng
183,189,58,5,4238860.0,847772.0,259,2023-01-11,2023,1,1,Benchmark Seamless Bandwidth,Books,Premium,
184,1389,124,7,16891210.0,2413030.0,175,2023-01-30,2023,1,1,Extend Global Applications,Books,Luxury,Anh Phúc Lê
185,1491,146,2,6360992.0,3180496.0,453,2024-10-27,2024,10,4,Expedite 24/7 Portals,Sports,Luxury,Kim Dương
186,1267,99,19,49845056.0,2623424.0,61,2023-01-25,2023,1,1,Synthesize Enterprise Synergies,Clothing,Luxury,Chị Linh Phạm
187,196,240,18,77176674.0,4287593.0,396,2024-03-16,2024,3,1,Streamline Extensible E-Commerce,Electronics,Luxury,Phúc Đức Trần
188,1899,108,11,44056144.0,4005104.0,363,2023-12-12,2023,12,4,Generate Value-Added Convergence,Clothing,Luxury,Bác Trung Hoàng
189,761,269,3,11440896.0,3813632.0,163,2024-12-19,2024,12,4,Unleash Plug-And-Play Markets,Clothing,Luxury,
190,1375,272,14,55745760.0,3981840.0,324,2023-04-12,2023,4,2,Embrace 24/7 Architectures,Food,Luxury,Khoa Nguyễn
191,1772,127,16,47280640.0,2955040.0,15,2023-06-30,2023,6,2,Extend Magnetic Schemas,Furniture,Luxury,Hoàng Hoàng
192,1587,94,6,1941408.0,323568.0,470,2024-01-28,2024,1,1,Morph Web-Enabled Convergence,Electronics,Mid,
193,1117,208,20,27766180.0,1388309.0,343,2023-12-10,2023,12,4,Engage Dot-Com E-Commerce,Furniture,Premium,
194,743,80,18,24121800.0,1340100.0,425,2023-01-18,2023,1,1,Cultivate Web-Enabled Info-Mediaries,Sports,Premium,Linh Bùi
195,418,228,4,10512020.0,2628005.0,276,2023-02-22,2023,2,1,Envisioneer Collaborative Applications,Food,Luxury,Thành Hữu Đặng
196,926,7,8,12727936.0,1590992.0,170,2023-05-21,2023,5,2,Transition Transparent Markets,Books,Premium,Quý cô Vân Phạm
197,878,64,11,29898319.0,2718029.0,490,2023-05-22,2023,5,2,Unleash End-To-End Methodologies,Furniture,Luxury,Chị An Phạm
198,916,242,13,30162886.0,2320222.0,73,2023-01-05,2023,1,1,Reinvent Real-Time Architectures,Sports,Luxury,Nhật Quang Nguyễn
199,1680,185,5,6442815.0,1288563.0,370,2024-09-25,2024,9,3,Disintermediate Strategic Deliverables,Clothing,Premium,Chị Thành Nguyễn
200,1613,253,17,66991220.0,3940660.0,498,2023-01-22,2023,1,1,Incentivize Sticky Niches,Furniture,Luxury,
201,1385,272,6,23891040.0,3981840.0,124,2024-06-06,2024,6,2,Embrace 24/7 Architectures,Food,Luxury,Huy Bảo Mai
202,1208,53,1,3919195.0,3919195.0,50,2023-11-16,2023,11,4,Leverage Ubiquitous Architectures,Food,Luxury,
203,1400,45,5,378255.0,75651.0,494,2023-02-12,2023,2,1,Morph 24/7 E-Business,Sports,Budget,Chi Nguyễn
204,327,275,15,46906215.0,3127081.0,463,2023-02-21,2023,2,1,Deliver Frictionless Niches,Electronics,Luxury,
205,100,98,13,11252930.0,865610.0,392,2023-09-21,2023,9,3,Envisioneer Bleeding-Edge Deliverables,Clothing,Premium,Hải Hải Vũ
206,399,75,15,50566515.0,3371101.0,159,2024-02-24,2024,2,1,Maximize Cutting-Edge Paradigms,Electronics,Luxury,
207,882,156,14,53011280.0,3786520.0,166,2023-04-26,2023,4,2,Target End-To-End Web Services,Food,Luxury,Khoa Phú Hoàng
208,386,210,19,10964387.0,577073.0,283,2023-02-17,2023,2,1,Maximize Robust Convergence,Electronics,Premium,Quý ông Quang Trần
209,1980,198,19,18557547.0,976713.0,411,2023-04-07,2023,4,2,Orchestrate Leading-Edge Schemas,Sports,Premium,
210,373,64,18,48924522.0,2718029.0,141,2024-06-19,2024,6,2,Unleash End-To-End Methodologies,Furniture,Luxury,
